IDCode,kmeans_label,agglomerative_label,birch_label,gmm_label,gmm_bic_best_label,gmm_aic_best_label,dbscan_label,dbscan_combined_label,dbscan_selected_label
lyzy104,1,0,1,0,2,0,-1,0,0
xafy802,0,1,1,0,4,6,-1,0,0
bacy598,1,0,0,1,3,1,-1,-1,0
kexi927,1,0,0,1,5,7,-1,0,0
cumo221,0,1,1,0,4,6,-1,0,0
kami789,1,0,0,0,0,5,-1,0,0
zoko875,0,1,1,0,4,4,-1,0,0
sina926,0,1,1,0,4,6,-1,0,0
fise899,1,0,1,0,0,5,-1,0,0
cija437,0,1,1,0,4,8,-1,0,0
manu258,0,0,1,1,2,0,-1,-1,0
zuwa573,0,1,1,0,4,6,-1,0,0
joxi410,1,0,0,1,5,7,-1,0,0
muta539,0,1,1,0,1,2,-1,-1,0
reqy562,0,1,1,0,1,2,-1,0,0
doxe492,0,1,1,0,4,8,-1,0,0
gylu244,1,0,0,1,5,7,-1,0,0
maxy370,0,1,1,0,4,4,-1,0,0
ryko512,0,1,1,0,1,8,-1,0,0
kula014,0,1,1,0,4,4,-1,0,0
jeqy595,1,0,0,1,5,5,-1,0,0
guva627,0,1,1,0,4,4,-1,0,0
lohy238,0,1,1,0,1,4,-1,0,0
cobi870,1,0,0,1,0,5,-1,-1,0
giki066,0,1,1,0,1,2,-1,-1,0
hywy001,0,1,1,0,0,6,1,0,0
feji918,0,1,1,0,4,8,-1,0,0
luli756,0,1,1,0,4,6,-1,0,0
wumu083,0,1,1,0,1,8,-1,0,0
cyga680,0,1,1,0,4,4,-1,0,0
buvy316,0,0,1,0,4,6,-1,0,0
rejy122,0,1,1,0,4,8,-1,0,0
dusi300,0,1,1,0,4,8,-1,0,0
howe436,0,1,1,0,4,8,-1,0,0
ropi792,0,1,1,0,1,4,-1,0,0
jemy300,0,1,1,0,1,4,-1,0,0
qexo432,0,1,1,0,4,6,-1,0,0
kyso927,0,1,1,0,4,4,-1,0,0
cozi663,1,0,0,1,5,7,-1,-1,0
vani542,0,1,1,0,0,6,-1,0,0
kaxu871,0,1,1,0,2,8,-1,0,0
moku835,0,1,1,0,1,4,-1,0,0
