IDCode,S1,S2,S3,S5,S6,TOTAL,gmm_bic_best_label
vudi262,7,21,5,5,3,36,0
tuza510,10,22,5,7,3,37,0
tubo945,13,28,5,8,4,48,4
bofi323,7,21,5,5,5,38,0
zeji633,7,7,1,4,3,17,3
bowo488,1,19,4,8,2,33,5
pipo687,2,12,3,4,1,20,3
core934,9,25,5,6,4,40,2
dedu084,8,22,2,5,3,32,5
lowa532,3,6,0,5,2,13,3
zuha759,2,10,0,4,3,17,3
qafu966,5,8,2,5,0,15,3
lobo127,7,22,4,7,4,39,0
homa046,6,10,3,3,4,20,3
keno764,10,24,2,4,1,31,5
habe142,12,23,5,8,6,44,4
joti731,12,30,5,8,5,50,1
reve265,10,24,2,7,5,40,0
cyca115,13,32,5,6,5,50,1
rawo522,14,33,4,5,5,49,1
pogi169,12,33,5,6,4,50,1
vepi727,10,24,5,5,4,40,0
risy585,8,25,5,3,1,36,0
fefu774,11,32,4,4,4,45,4
wyxo615,11,30,5,7,4,47,4
ciby707,10,31,5,5,4,47,2
xuvy948,15,34,5,7,6,54,1
ravy196,15,33,5,8,6,55,1
loge702,10,23,4,5,3,38,0
viry492,10,27,5,5,3,42,0
gowa049,11,31,4,5,3,45,4
vyva107,11,29,4,4,4,43,4
duxo262,12,31,5,7,4,49,1
peto053,12,30,5,7,6,49,1
difi858,14,30,5,5,3,46,4
xoru423,9,26,5,4,4,41,0
wizy437,14,29,5,6,7,50,1
kuge219,12,31,5,6,4,48,1
hazu473,9,22,5,6,5,40,0
gono087,11,27,4,4,5,41,0
vury347,10,25,3,7,5,42,4
copo281,5,13,1,5,0,19,3
heda014,13,31,5,5,5,48,4
powu461,11,30,5,8,5,50,1
peqa279,9,28,4,8,5,47,4
lufy687,8,21,5,4,3,35,2
koze985,12,30,5,7,6,50,1
hadi890,9,24,5,7,4,42,0
recu163,12,34,4,5,2,46,2
xyzi642,11,32,5,7,4,50,1
nejy388,9,27,3,5,0,36,2
tezy480,11,25,5,5,6,43,4
nawu690,9,26,5,5,4,42,0
mofe780,6,24,4,3,3,35,2
nily317,6,13,1,5,2,21,3
roho333,11,23,3,4,1,31,5
xime971,7,19,2,3,2,28,5
muqo157,9,23,1,6,2,32,5
riby296,8,23,4,6,4,38,0
pala257,10,24,4,8,6,44,4
tuby409,12,29,3,4,5,43,4
hoxo855,8,25,4,4,2,37,0
qixy634,11,30,5,8,6,51,1
niri091,12,28,2,4,4,40,0
lazi600,12,29,4,7,5,47,4
qedo478,8,21,2,7,3,35,0
ruhu758,13,28,4,8,6,48,4
cima563,12,31,5,8,5,50,1
lyzy104,10,26,4,5,4,40,2
xafy802,11,28,5,5,4,43,4
bacy598,7,4,0,5,3,14,3
kexi927,11,17,2,3,2,26,5
cumo221,11,26,4,7,5,45,4
kami789,7,22,4,6,2,35,0
zoko875,12,29,5,7,6,48,4
sina926,8,29,4,6,3,44,4
fise899,10,24,3,5,4,38,0
cija437,13,30,5,5,5,47,4
manu258,10,29,5,5,2,43,2
zuwa573,10,28,5,6,4,45,4
joxi410,6,18,4,5,3,32,5
muta539,16,33,5,8,7,56,1
reqy562,15,31,5,5,7,51,1
doxe492,11,28,5,7,5,48,4
gylu244,8,18,3,3,4,30,5
maxy370,12,33,5,4,3,47,4
ryko512,13,31,5,8,4,50,1
kula014,12,32,4,5,5,48,4
jeqy595,10,23,3,3,3,34,5
guva627,13,33,5,5,3,48,4
lohy238,13,33,5,6,4,50,1
cobi870,10,26,3,3,3,37,0
giki066,14,34,5,7,5,53,1
hywy001,11,29,4,4,4,42,0
feji918,8,30,5,5,3,45,4
luli756,10,30,4,5,2,43,4
wumu083,13,30,5,8,5,50,1
cyga680,11,33,5,5,3,48,4
buvy316,11,31,3,4,4,43,4
rejy122,12,32,5,5,2,46,4
dusi300,12,32,5,8,1,47,4
howe436,12,29,5,6,5,47,4
ropi792,14,34,5,6,3,50,1
jemy300,11,33,5,7,4,50,1
qexo432,13,30,5,2,5,44,4
kyso927,13,33,4,4,3,46,4
cozi663,7,14,3,4,2,24,5
vani542,11,26,5,5,3,41,0
kaxu871,9,30,4,7,3,45,2
moku835,15,34,4,3,6,49,1
cahe192,11,32,5,5,4,48,4
feso129,12,34,5,8,2,51,1
tufa140,15,32,5,7,6,53,1
zigi489,6,22,4,4,3,33,5
dahi696,10,29,5,7,4,47,4
quhe482,7,17,2,5,3,29,5
taxa827,11,27,5,5,4,44,4
vuga321,12,33,4,4,2,44,4
nycu731,11,31,4,8,3,48,4
raxy329,12,30,5,2,4,43,4
nyfe489,12,30,4,8,5,49,1
texu966,9,23,3,5,3,35,0
kifo712,11,26,3,4,3,36,0
pajo050,9,26,3,4,3,37,0
hefy659,10,22,4,5,4,37,0
tujy672,12,32,3,3,4,44,4
cyfe247,7,15,1,5,4,26,5
xori482,9,27,3,4,5,41,0
raje697,9,30,5,7,3,47,4
biwu043,5,21,5,4,4,36,0
cylu852,10,27,5,8,3,45,4
fode209,10,28,3,5,1,38,2
woju333,7,27,5,3,2,37,0
saca329,12,31,5,7,3,48,4
jizi110,8,27,5,5,2,40,2
vyxi492,14,32,5,6,6,52,1
xehy451,9,26,5,6,4,43,2
feke878,8,19,5,5,6,37,0
rozu771,10,27,2,6,1,38,2
duvi856,15,32,5,7,5,52,1
nexu635,11,26,3,6,5,41,0
cozi454,7,27,5,2,2,36,2
saze236,11,29,3,5,2,41,0
quzy338,12,29,3,5,3,43,4
lula174,11,31,5,7,4,49,1
buzo685,8,25,5,5,1,37,0
huby293,14,32,5,7,5,52,1
dyhi182,10,25,5,5,4,41,0
tatu362,13,31,4,4,5,46,4
bene344,11,30,5,7,2,44,2
keho061,8,24,4,5,3,36,0
vyxy108,9,22,4,6,4,38,0
zusa663,13,28,5,7,6,48,4
nehe056,13,32,5,8,5,53,1
myve834,15,32,5,7,7,54,1
tyhy481,7,21,4,6,4,37,0
sati762,7,25,4,4,3,38,0
biku776,9,24,5,5,3,37,0
wify666,12,32,5,8,4,51,1
sony276,12,29,5,7,5,48,4
tusi463,10,27,4,5,3,41,0
baco446,5,21,3,5,2,32,5
coni238,12,27,3,4,3,39,0
tuvu087,3,16,3,5,3,29,5
vuci475,11,25,3,4,3,37,0
seto741,8,13,0,2,1,16,3
jewe923,13,29,4,4,5,44,4
jaqy340,8,26,3,4,3,38,0
pubu440,3,16,2,3,0,21,3
gyjy255,11,28,5,3,4,42,0
zyte492,13,29,5,6,6,48,4
ruco451,7,24,3,5,3,37,0
loda300,7,23,3,7,3,38,0
moly152,9,15,3,5,3,26,5
cuba307,10,27,5,4,3,41,0
jupo405,8,21,3,5,0,29,5
xuke183,11,27,1,6,5,41,0
mado232,10,22,2,4,2,32,5
zafy372,15,30,5,7,7,51,1
gyly160,5,21,4,6,4,36,0
tapi010,8,15,2,3,2,22,3
gelu604,16,32,5,8,7,54,1
qiqi041,10,27,3,3,3,36,0
ratu271,6,26,5,5,3,40,0
kyqu130,9,30,5,8,4,47,4
lucu601,10,27,5,8,4,47,4
kama922,11,26,5,7,1,41,0
zoma564,14,30,3,3,4,43,4
puju088,12,30,4,5,1,42,0
jufy997,10,31,5,6,5,48,2
wyja070,12,32,4,5,1,44,2
dasy955,9,25,5,4,3,40,0
wyki565,7,25,5,3,3,36,0
garu074,9,27,5,7,6,47,4
qyxy586,10,26,5,7,5,45,4
kegi864,14,32,5,6,4,50,1
gyge774,13,31,5,2,2,43,4
vyda893,6,10,0,0,2,12,3
vuvy608,15,30,4,7,5,48,1
vizo712,10,28,4,6,5,45,4
givi158,6,27,3,5,1,37,0
caro445,11,30,5,5,2,45,4
nene689,12,31,5,7,4,49,1
ryfy568,9,26,4,3,3,37,0
johy783,9,17,4,2,4,28,5
sulo956,7,22,5,6,4,37,0
gony054,10,31,5,7,3,47,4
puca767,11,26,4,5,5,42,0
baky109,10,18,0,4,2,26,5
mabo887,10,26,5,5,5,42,0
cona428,10,30,5,3,5,45,2
lilo882,12,28,5,5,3,43,4
gycy436,8,27,5,5,3,42,0
jyri631,13,29,5,7,3,46,2
safu128,11,32,5,7,4,50,1
fore104,10,29,4,7,4,46,4
zabe850,13,30,5,6,4,47,4
woci389,12,27,4,6,5,44,4
kygi723,11,30,3,5,4,43,4
qejy219,12,34,5,6,4,50,1
jago498,11,29,5,7,2,45,4
buby593,12,29,5,5,4,46,4
dapu822,11,31,3,7,3,45,2
sugu976,3,21,4,5,4,34,5
wuxa997,9,24,2,5,3,36,0
tiqy778,9,27,5,6,4,45,4
xyfe491,5,14,3,4,3,24,5
ryhy064,10,32,5,6,3,48,4
kufi222,11,25,4,7,5,41,0
xaja332,9,27,5,5,3,42,0
fofa613,9,22,2,3,6,33,5
viba035,4,20,3,5,3,32,5
qewy924,12,27,5,6,6,46,4
pytu496,7,23,4,5,5,39,0
tosa657,13,32,5,4,6,48,4
keri121,14,34,5,8,5,54,1
bofi991,10,22,4,3,4,35,0
bihi184,6,6,0,4,0,10,3
piro376,8,23,5,8,4,42,0
zade686,5,6,2,2,4,16,6
zejy480,5,19,4,5,2,31,5
zapy404,11,22,4,4,4,36,0
lusi512,9,25,5,4,3,39,0
sedo490,2,8,3,4,1,16,3
davu999,9,30,5,6,1,43,4
buby236,3,7,2,5,2,16,3
weru214,11,28,2,7,5,44,4
tyly265,4,15,1,4,0,20,3
nise834,3,11,0,3,1,15,3
voxy002,7,11,0,2,0,14,3
fypi681,10,28,3,6,1,39,0
xopa120,5,10,0,4,0,14,3
wari483,8,25,3,5,4,37,0
kegy317,10,29,5,6,1,43,4
geka905,10,27,5,5,5,43,4
lore323,3,13,2,5,0,20,3
vane668,11,31,4,8,5,50,1
zuxy510,3,6,0,0,0,6,3
masu336,8,31,5,5,1,42,0
xise560,10,24,3,4,6,39,0
zomi496,9,21,3,4,5,34,5
lilu285,3,9,1,3,1,14,3
heqi003,4,4,3,3,2,12,3
jise415,10,32,5,8,4,50,1
vabe169,14,30,4,8,7,50,1
kofa904,6,20,1,3,3,27,5
peqo117,5,7,0,3,0,10,3
gaho243,8,29,5,5,3,42,0
mude815,7,9,0,4,5,18,3
raxe285,12,25,2,5,3,37,0
qami382,13,29,5,6,4,47,4
bebo956,5,17,3,5,0,26,5
cofi309,11,28,4,5,5,44,2
buqe642,14,31,4,6,4,47,4
vuzo690,9,26,5,8,1,40,2
posy958,12,31,3,7,3,46,4
gaga585,9,26,4,5,4,40,0
vopa930,12,26,5,4,3,41,0
xutu412,15,34,5,7,6,54,1
doxi119,7,17,1,4,2,24,5
feqy379,11,27,5,5,6,45,4
xypo299,6,12,1,8,3,24,5
gahu141,14,30,5,7,5,49,1
kyse146,13,32,5,5,4,48,4
sedi312,11,27,2,8,5,44,4
nasi298,13,30,5,7,5,50,1
naky151,6,22,4,7,2,35,2
koqa816,16,33,5,7,6,54,1
sila763,13,30,4,7,5,47,4
pody147,11,28,5,8,4,47,4
voza333,14,34,5,7,3,51,1
tiro932,10,27,3,7,4,43,4
wujy562,12,32,4,5,4,46,2
hamu369,12,32,5,4,5,48,1
nape687,7,7,1,5,3,17,3
gevi782,10,27,4,6,3,42,0
qoha890,16,32,5,8,7,54,1
fili803,13,32,5,5,5,49,1
puce552,9,21,4,3,3,31,5
buny935,13,31,4,4,1,43,4
pimi228,9,24,5,3,4,38,0
kyjo289,12,30,5,4,3,44,4
bepo134,12,29,4,7,3,45,4
kise589,13,29,5,3,5,45,4
remi231,10,26,3,7,1,38,0
qyjo579,11,32,5,4,1,43,2
cyhu257,7,19,5,4,3,31,5
diha837,12,27,4,5,4,43,4
ware232,14,31,5,7,5,51,1
hyge979,12,31,4,5,5,46,2
biqe951,10,31,4,5,3,43,4
jide437,14,33,5,7,4,51,1
zipu412,12,28,5,6,5,45,4
vate767,13,32,5,3,3,45,4
mefy253,11,29,4,8,3,46,4
qafe413,6,22,5,4,3,34,5
lota555,2,7,4,4,1,16,3
mecu237,10,32,4,3,4,43,2
cidy099,13,33,5,6,4,50,1
xoba600,14,32,5,3,5,47,4
joce161,3,11,1,2,3,17,3
kywu572,14,29,5,7,6,49,1
jefi901,12,33,5,5,4,48,4
mari840,13,30,3,3,5,43,2
nypy058,11,21,3,6,3,35,0
rino885,12,32,4,3,3,44,4
maju644,7,26,3,3,1,33,5
qosy291,8,31,5,5,3,44,4
posy537,13,31,5,6,5,49,1
xoki390,10,20,2,5,4,32,5
fagi164,7,23,3,3,4,34,5
zozy719,11,28,5,6,4,45,4
bopa107,9,33,4,5,3,45,4
jyly989,10,27,5,3,2,38,0
togu404,11,29,5,4,5,44,4
gosa272,10,23,3,4,5,36,0
fovo989,13,30,5,6,7,48,4
sira606,11,29,3,4,4,41,0
loby351,10,30,4,4,3,41,0
fike806,9,26,4,7,3,42,0
fafe171,7,18,0,4,3,26,5
zyvo780,12,32,5,5,5,47,4
xune455,11,29,3,5,4,42,0
vamu972,14,33,5,3,5,49,1
suzo040,11,24,5,4,4,39,2
wype120,7,26,3,5,3,38,0
jicu869,4,24,5,4,3,37,0
wero373,12,32,5,3,6,46,4
juqo313,11,30,5,7,3,47,4
vexo008,9,20,3,4,2,31,5
punu787,8,18,4,1,0,24,5
tomo782,6,9,0,0,0,9,3
cupe992,5,14,3,0,1,18,3
kyjo535,11,25,3,5,5,39,0
raja244,6,26,3,7,2,38,0
pino324,9,23,5,7,4,41,2
qutu379,8,20,3,3,1,29,5
nolu547,6,23,3,4,4,35,2
cape571,5,15,2,3,1,22,3
coma628,14,27,4,5,6,44,4
mida684,14,33,5,5,5,50,1
gaqe214,12,30,5,5,5,47,4
pufe463,16,32,4,6,6,51,1
fifa517,13,31,5,7,5,50,1
wuzy577,15,34,5,7,6,54,1
sire515,14,34,5,6,4,51,1
xyhi085,13,33,5,6,3,50,1
nexy906,12,32,5,6,4,49,1
pyzi618,16,34,5,6,6,54,1
muku118,10,30,4,5,4,43,4
kewi488,9,29,5,4,2,40,0
xafu780,4,11,1,2,2,16,3
wowy820,4,15,0,4,0,19,3
ryzo168,9,22,4,8,6,42,0
xavy753,7,7,0,4,3,15,3
deje129,11,10,0,4,2,17,3
